symbol,accuracy,recall,precision,trade_amount,pred_ct
JPM,0.6978527607361963,0.0,0.0,0,0
EBAY,0.6366639141205616,0.0,0.0,0,0
CINF,0.6818734793187348,0.0,0.0,0,0
VMC,0.6440677966101694,0.006389776357827476,0.3333333333333333,2.549987792968821,12
NOV,0.6090283091048202,0.01761252446183953,0.5,-0.6000022888183629,18
DFS,0.5860284605433377,0.0031746031746031746,0.14285714285714285,-2.890001296997074,7
CAT,0.6606606606606606,0.0,0.0,0,0
ADM,0.6775325977933802,0.0,0.0,0,0
HOLX,0.6569165143205362,0.0,0.0,0,0
WHR,0.5566750629722922,0.43270622286541244,0.3799237611181703,-93.12492370605493,787
CPICQ,-999.999,-999.999,-999.999,-999.999,-999.999
RJF,0.6384309266628766,0.006309148264984227,0.4,-0.2933311462402344,10
GIS,0.6779233870967742,0.0,0.0,0,0
WSPOF,0.6502057613168725,0.265625,0.12142857142857143,-15.642341613769503,140
FISV,0.6723404255319149,0.0055658627087198514,0.5,9.97000122070311,6
GE,0.6951951951951952,0.003703703703703704,0.375,-1.6830749511718537,8
EQR,0.6863945578231293,0.0021691973969631237,0.5,-2.0699996948242116,2
FANG,0.5833333333333334,0.0,0.0,-11.110000610351555,4
ALLE,0.6481069042316259,0.006289308176100629,1.0,2.3199996948242188,1
EOG,0.639039039039039,0.004991680532445923,0.5,5.900005340576136,6
SHW,0.6608187134502924,0.006289308176100629,0.4,-0.9399719238282955,10
AMD,0.5826653306613226,0.01699029126213592,0.3783783783783784,-4.920004487037671,37
HPQ,0.6355105105105106,0.01752577319587629,0.4857142857142857,0.8401498794555611,35
FRT,0.6829659318637274,0.0012658227848101266,0.3333333333333333,3.4000091552734375,3
ADI,0.6597510373443983,0.0,0.0,0,0
HAL,0.6218024399842582,0.0041841004184100415,0.3076923076923077,-2.4900031089782697,13
PHM,0.6128518321826872,0.0,0.0,0,0
BEN,0.6485730274202575,0.007961783439490446,0.5,-1.160000801086408,10
